trip_id,arrival_time,departure_time,stop_id,stop_sequence
3,06:28:30,06:28:30,1180,20
3,06:30:00,06:30:00,1181,21
3,06:31:30,06:31:30,1182,22
3,06:33:00,06:33:00,1183,23
3,06:34:30,06:34:30,1184,24
3,06:36:00,06:36:00,1185,25
3,06:37:30,06:37:30,1186,26
3,06:39:00,06:39:00,1187,27
4,06:00:00,06:00:00,1108,1
4,06:01:30,06:01:30,1109,2
4,06:03:00,06:03:00,1110,3
4,06:04:30,06:04:30,1111,4
4,06:06:00,06:06:00,1112,5
4,06:07:30,06:07:30,1113,6
4,06:09:00,06:09:00,1114,7
4,06:10:30,06:10:30,1115,8
4,06:12:00,06:12:00,1116,9
4,06:13:30,06:13:30,1117,10
4,06:15:00,06:15:00,1118,11
4,06:16:30,06:16:30,1119,12
4,06:18:00,06:18:00,1120,13
4,06:19:30,06:19:30,1121,14
4,06:21:00,06:21:00,1122,15
4,06:22:30,06:22:30,1123,16
4,06:24:00,06:24:00,1124,17
4,06:25:30,06:25:30,1125,18
4,06:27:00,06:27:00,1126,19
4,06:28:30,06:28:30,1127,20
4,06:30:00,06:30:00,1128,21
4,06:31:30,06:31:30,1129,22
4,06:33:00,06:33:00,1130,23
4,06:34:30,06:34:30,1131,24
4,06:36:00,06:36:00,1132,25
4,06:37:30,06:37:30,1133,26
4,06:39:00,06:39:00,1134,27
4,06:40:30,06:40:30,1135,28
5,06:00:00,06:00:00,1136,1
5,06:01:30,06:01:30,1137,2
5,06:03:00,06:03:00,1138,3
5,06:04:30,06:04:30,1139,4
5,06:06:00,06:06:00,1140,5
5,06:07:30,06:07:30,1141,6
5,06:09:00,06:09:00,1142,7
5,06:10:30,06:10:30,1143,8
5,06:12:00,06:12:00,1144,9
5,06:13:30,06:13:30,1145,10
5,06:15:00,06:15:00,1146,11
5,06:16:30,06:16:30,1147,12
5,06:18:00,06:18:00,1148,13
5,06:19:30,06:19:30,1149,14
5,06:21:00,06:21:00,1150,15
5,06:22:30,06:22:30,1151,16
5,06:24:00,06:24:00,1152,17
5,06:25:30,06:25:30,1153,18
5,06:27:00,06:27:00,1154,19
5,06:28:30,06:28:30,1155,20
5,06:30:00,06:30:00,1156,21
5,06:31:30,06:31:30,1157,22
5,06:33:00,06:33:00,1158,23
5,06:34:30,06:34:30,1159,24
5,06:36:00,06:36:00,1160,25
6,06:00:00,06:00:00,1053,1
6,06:01:30,06:01:30,1054,2
6,06:03:00,06:03:00,1055,3
6,06:04:30,06:04:30,1056,4
6,06:06:00,06:06:00,1057,5
6,06:07:30,06:07:30,1058,6
6,06:09:00,06:09:00,1059,7
6,06:10:30,06:10:30,1060,8
6,06:12:00,06:12:00,1061,9
6,06:13:30,06:13:30,1062,10
6,06:15:00,06:15:00,1063,11
6,06:16:30,06:16:30,1064,12
6,06:18:00,06:18:00,1065,13
6,06:19:30,06:19:30,1066,14
6,06:21:00,06:21:00,1067,15
6,06:22:30,06:22:30,1068,16
6,06:24:00,06:24:00,1069,17
6,06:25:30,06:25:30,1070,18
6,06:27:00,06:27:00,1071,19
6,06:28:30,06:28:30,1072,20
6,06:30:00,06:30:00,1073,21
6,06:31:30,06:31:30,1074,22
6,06:33:00,06:33:00,1075,23
6,06:34:30,06:34:30,1076,24
6,06:36:00,06:36:00,1077,25
6,06:37:30,06:37:30,1078,26
7,06:00:00,06:00:00,1188,1
7,06:01:30,06:01:30,1189,2
7,06:03:00,06:03:00,1190,3
7,06:04:30,06:04:30,1191,4
7,06:06:00,06:06:00,1192,5
7,06:07:30,06:07:30,1193,6
7,06:09:00,06:09:00,1194,7
7,06:10:30,06:10:30,1195,8
7,06:12:00,06:12:00,1196,9
7,06:13:30,06:13:30,1197,10
7,06:15:00,06:15:00,1198,11
7,06:16:30,06:16:30,1199,12
7,06:18:00,06:18:00,1200,13
7,06:19:30,06:19:30,1201,14
7,06:21:00,06:21:00,1202,15
7,06:22:30,06:22:30,1203,16
7,06:24:00,06:24:00,1204,17
7,06:25:30,06:25:30,1205,18
7,06:27:00,06:27:00,1206,19
7,06:28:30,06:28:30,1207,20
7,06:30:00,06:30:00,1208,21
7,06:31:30,06:31:30,1209,22
7,06:33:00,06:33:00,1210,23
7,06:34:30,06:34:30,1211,24
7,06:36:00,06:36:00,1212,25
7,06:37:30,06:37:30,1213,26
7,06:39:00,06:39:00,1214,27
7,06:40:30,06:40:30,1215,28
7,06:42:00,06:42:00,1216,29
8,06:00:00,06:00:00,1079,1
8,06:01:30,06:01:30,1080,2
8,06:03:00,06:03:00,1081,3
8,06:04:30,06:04:30,1082,4
8,06:06:00,06:06:00,1083,5
8,06:07:30,06:07:30,1084,6
8,06:09:00,06:09:00,1085,7
8,06:10:30,06:10:30,1086,8
8,06:12:00,06:12:00,1087,9
8,06:13:30,06:13:30,1088,10
8,06:15:00,06:15:00,1089,11
8,06:16:30,06:16:30,1090,12
8,06:18:00,06:18:00,1091,13
8,06:19:30,06:19:30,1092,14
8,06:21:00,06:21:00,1093,15
8,06:22:30,06:22:30,1094,16
8,06:24:00,06:24:00,1095,17
8,06:25:30,06:25:30,1096,18
8,06:27:00,06:27:00,1097,19
8,06:28:30,06:28:30,1098,20
8,06:30:00,06:30:00,1099,21
8,06:31:30,06:31:30,1100,22
8,06:33:00,06:33:00,1101,23
8,06:34:30,06:34:30,1102,24
8,06:36:00,06:36:00,1103,25
8,06:37:30,06:37:30,1104,26
8,06:39:00,06:39:00,1105,27
8,06:40:30,06:40:30,1106,28
8,06:42:00,06:42:00,1107,29
9,06:00:00,06:00:00,1217,1
9,06:01:30,06:01:30,1218,2
9,06:03:00,06:03:00,1219,3
9,06:04:30,06:04:30,1220,4
9,06:06:00,06:06:00,1221,5
9,06:07:30,06:07:30,1222,6
9,06:09:00,06:09:00,1223,7
9,06:10:30,06:10:30,1224,8
9,06:12:00,06:12:00,1225,9
9,06:13:30,06:13:30,1226,10
9,06:15:00,06:15:00,1227,11
9,06:16:30,06:16:30,1228,12
9,06:18:00,06:18:00,1229,13
9,06:19:30,06:19:30,1230,14
9,06:21:00,06:21:00,1231,15
9,06:22:30,06:22:30,1232,16
9,06:24:00,06:24:00,1233,17
9,06:25:30,06:25:30,1234,18
9,06:27:00,06:27:00,1235,19
9,06:28:30,06:28:30,1236,20
9,06:30:00,06:30:00,1237,21
9,06:31:30,06:31:30,1238,22
10,06:00:00,06:00:00,1239,1
10,06:01:30,06:01:30,1240,2
10,06:03:00,06:03:00,1241,3
10,06:04:30,06:04:30,1242,4
10,06:06:00,06:06:00,1243,5
10,06:07:30,06:07:30,1244,6
10,06:09:00,06:09:00,1245,7
10,06:10:30,06:10:30,1246,8
10,06:12:00,06:12:00,1247,9
10,06:13:30,06:13:30,1248,10
10,06:15:00,06:15:00,1249,11
10,06:16:30,06:16:30,1250,12
10,06:18:00,06:18:00,1251,13
10,06:19:30,06:19:30,1252,14
11,06:00:00,06:00:00,1253,1
11,06:01:30,06:01:30,1254,2
11,06:03:00,06:03:00,1255,3
11,06:04:30,06:04:30,1256,4
11,06:06:00,06:06:00,1257,5
11,06:07:30,06:07:30,1258,6
12,06:00:00,06:00:00,1259,1
12,06:01:30,06:01:30,1260,2
12,06:03:00,06:03:00,1261,3
12,06:04:30,06:04:30,1262,4
12,06:06:00,06:06:00,1263,5
12,06:07:30,06:07:30,1264,6
12,06:09:00,06:09:00,1265,7
12,06:10:30,06:10:30,1266,8
12,06:12:00,06:12:00,1267,9
13,06:00:00,06:00:00,1280,1
13,06:01:30,06:01:30,1281,2
13,06:03:00,06:03:00,1282,3
13,06:04:30,06:04:30,1283,4
13,06:06:00,06:06:00,1284,5
13,06:07:30,06:07:30,1285,6
14,06:00:00,06:00:00,1274,1
14,06:01:30,06:01:30,1275,2
14,06:03:00,06:03:00,1276,3
14,06:04:30,06:04:30,1277,4
14,06:06:00,06:06:00,1278,5
14,06:07:30,06:07:30,1279,6
15,06:00:00,06:00:00,1268,1
15,06:01:30,06:01:30,1269,2
15,06:03:00,06:03:00,1270,3
15,06:04:30,06:04:30,1271,4
15,06:06:00,06:06:00,1272,5
15,06:07:30,06:07:30,1273,6
16,06:00:00,06:00:00,1309,1
16,06:01:30,06:01:30,1310,2
16,06:03:00,06:03:00,1311,3
16,06:04:30,06:04:30,1312,4
16,06:06:00,06:06:00,1313,5
16,06:07:30,06:07:30,1314,6
16,06:09:00,06:09:00,1315,7
16,06:10:30,06:10:30,1316,8
16,06:12:00,06:12:00,1317,9
16,06:13:30,06:13:30,1318,10
16,06:15:00,06:15:00,1319,11
16,06:16:30,06:16:30,1320,12
17,06:00:00,06:00:00,1295,1
17,06:01:30,06:01:30,1296,2
17,06:03:00,06:03:00,1297,3
17,06:04:30,06:04:30,1298,4
17,06:06:00,06:06:00,1299,5
17,06:07:30,06:07:30,1300,6
17,06:09:00,06:09:00,1301,7
18,06:00:00,06:00:00,1302,1
18,06:01:30,06:01:30,1303,2
18,06:03:00,06:03:00,1304,3
18,06:04:30,06:04:30,1305,4
18,06:06:00,06:06:00,1306,5
18,06:07:30,06:07:30,1307,6
18,06:09:00,06:09:00,1308,7
19,06:00:00,06:00:00,1286,1
19,06:01:30,06:01:30,1287,2
19,06:03:00,06:03:00,1288,3
19,06:04:30,06:04:30,1289,4
19,06:06:00,06:06:00,1290,5
19,06:07:30,06:07:30,1291,6
19,06:09:00,06:09:00,1292,7
19,06:10:30,06:10:30,1293,8
19,06:12:00,06:12:00,1294,9
